from_id,to_id,distancia_km,tiempo_min
11,17,9.3708,18.74
11,18,10.9016,21.8
11,19,17.0216,34.04
12,0,10.9609,21.92
12,1,9.4718,18.94
12,2,22.0926,44.19
12,3,6.5618,13.12
12,4,16.8616,33.72
12,5,12.4035,24.81
12,6,3.496,6.99
12,7,9.8032,19.61
12,8,8.4551,16.91
12,9,10.7927,21.59
12,10,13.2068,26.41
12,11,20.741,41.48
12,13,19.6382,39.28
12,14,7.7003,15.4
12,15,16.3865,32.77
12,16,14.7716,29.54
12,17,13.03,26.06
12,18,9.8432,19.69
12,19,6.6533,13.31
13,0,14.3345,28.67
13,1,10.3655,20.73
13,2,15.6411,31.28
13,3,14.059,28.12
13,4,4.7742,9.55
13,5,27.1691,54.34
13,6,22.2243,44.45
13,7,12.3205,24.64
13,8,11.2754,22.55
13,9,14.9794,29.96
13,10,13.7398,27.48
13,11,18.8136,37.63
13,12,19.6382,39.28
13,14,12.9295,25.86
13,15,13.7568,27.51
13,16,20.7052,41.41
13,17,12.0726,24.15
13,18,16.0333,32.07
13,19,13.0701,26.14
14,0,4.8419,9.68
14,1,5.0033,10.01
14,2,15.1041,30.21
14,3,1.1976,2.4
14,4,11.5033,23.01
14,5,14.6869,29.37
14,6,9.5334,19.07
14,7,2.4066,4.81
14,8,2.4877,4.98
14,9,5.1075,10.22
14,10,6.6199,13.24
14,11,14.8012,29.6
14,12,7.7003,15.4
14,13,12.9295,25.86
14,15,9.558,19.12
14,16,11.342,22.68
14,17,5.8282,11.66
14,18,5.1262,10.25
14,19,2.2315,4.46
15,0,5.446,10.89
15,1,12.9688,25.94
15,2,5.7066,11.41
15,3,10.3164,20.63
15,4,15.6146,31.23
15,5,16.8951,33.79
15,6,16.7929,33.59
15,7,7.1578,14.32
15,8,10.9414,21.88
15,9,5.728,11.46
15,10,3.1827,6.37
15,11,5.7541,11.51
15,12,16.3865,32.77
15,13,13.7568,27.51
15,14,9.558,19.12
15,16,7.874,15.75
15,17,3.7929,7.59
15,18,6.9492,13.9
15,19,11.7046,23.41
16,0,6.997,13.99
16,1,16.242,32.48
16,2,11.6131,23.23
16,3,11.266,22.53
16,4,21.3617,42.72
16,5,9.9087,19.82
16,6,13.4855,26.97
16,7,9.853,19.71
16,8,13.7182,27.44
16,9,6.4794,12.96
16,10,6.9683,13.94
16,11,7.8939,15.79
16,12,14.7716,29.54
16,13,20.7052,41.41
16,14,11.342,22.68
16,15,7.874,15.75
16,17,8.6612,17.32
16,18,6.2201,12.44
16,19,13.3888,26.78
17,0,2.7849,5.57
17,1,9.2702,18.54
17,2,9.2778,18.56
17,3,6.6869,13.37
17,4,12.8926,25.79
17,5,15.883,31.77
17,6,13.9281,27.86
17,7,3.4233,6.85
17,8,7.1591,14.32
17,9,3.3767,6.75
17,10,1.7188,3.44
17,11,9.3708,18.74
17,12,13.03,26.06
17,13,12.0726,24.15
17,14,5.8282,11.66
17,15,3.7929,7.59
17,16,8.6612,17.32
17,18,4.6938,9.39
17,19,7.9317,15.86
18,0,1.9109,3.82
18,1,10.0717,20.14
18,2,12.5594,25.12
18,3,5.091,10.18
18,4,15.7869,31.57
18,5,11.3004,22.6
18,6,9.8605,19.72
18,7,3.9676,7.94
18,8,7.5381,15.08
18,9,1.3402,2.68
18,10,3.91,7.82
18,11,10.9016,21.8
18,12,9.8432,19.69
18,13,16.0333,32.07
18,14,5.1262,10.25
18,15,6.9492,13.9
18,16,6.2201,12.44
18,17,4.6938,9.39
18,19,7.1816,14.36
19,0,7.0664,14.13
19,1,3.5792,7.16
19,2,17.1667,34.33
19,3,2.1626,4.33
19,4,10.8338,21.67
19,5,15.6604,31.32
19,6,9.1884,18.38
19,7,4.5591,9.12
19,8,1.8072,3.61
19,9,7.3032,14.61
19,10,8.8319,17.66
19,11,17.0216,34.04
19,12,6.6533,13.31
19,13,13.0701,26.14
19,14,2.2315,4.46
19,15,11.7046,23.41
19,16,13.3888,26.78
19,17,7.9317,15.86
19,18,7.1816,14.36
